Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.566548697156115,6.2282569547164774,599,1800,7.257686557661325e-200,[0.53 0.6 ]
ICC2,Single random raters,0.5711552423792806,6.913584499743277,599,1797,2.0969865453311858e-223,[0.51 0.62]
ICC3,Single fixed raters,0.5965132490570304,6.913584499743277,599,1797,2.0969865453311858e-223,[0.56 0.63]
ICC1k,Average raters absolute,0.8394414348555852,6.2282569547164774,599,1800,7.257686557661325e-200,[0.82 0.86]
ICC2k,Average random raters,0.8419568180531015,6.913584499743277,599,1797,2.0969865453311858e-223,[0.81 0.87]
ICC3k,Average fixed raters,0.8553572318329034,6.913584499743277,599,1797,2.0969865453311858e-223,[0.84 0.87]
