Scenario,Sharpness,Contrast,Entropy,Resolution,BRISQUE,Sharpness LB,Sharpness UB,Contrast LB,Contrast UB,Entropy LB,Entropy UB,Resolution LB,Resolution UB,BRISQUE LB,BRISQUE UB
150,0.16,0.013333333333333334,0.4,0.06,0.37333333333333335,0.10994008412845498,0.22703968204183717,0.003664129151227047,0.04730690870036752,0.3250432073625253,0.4799508415110901,0.03188404420920532,0.11008977083470209,0.29999831389115217,0.45299414801542726
180,0.15555555555555556,0.011111111111111112,0.39444444444444443,0.05555555555555555,0.37777777777777777,0.10987007034797208,0.21563571710913915,0.0030523748459926163,0.0396010008995846,0.32596824258285667,0.46733191808948377,0.03045327362397781,0.09923161341745598,0.310201405801116,0.45046193813527824
210,0.14761904761904762,0.009523809523809525,0.40476190476190477,0.05714285714285714,0.3761904761904762,0.10598627365052596,0.2019122002179213,0.0026156693874094424,0.03405382802407794,0.3406624293852357,0.472283104092723,0.032986853818860594,0.0972098768536474,0.31344851258253814,0.4433806809388082
240,0.13333333333333333,0.016666666666666666,0.4083333333333333,0.05416666666666667,0.35833333333333334,0.09605375830035263,0.18216578299012387,0.006499940721831632,0.04206218188834189,0.3480669188526184,0.4714879664700007,0.031925187796296654,0.09045539081825998,0.3003381636442852,0.4207921136724898
270,0.13333333333333333,0.014814814814814815,0.4074074074074074,0.05925925925925926,0.35555555555555557,0.0978878523087872,0.17906604337708693,0.005775877859582057,0.03746614572475648,0.3504960844840084,0.4669165154366669,0.03680188195465953,0.09408209366775488,0.3008506029902517,0.41431305288600184
300,0.13666666666666666,0.016666666666666666,0.3933333333333333,0.056666666666666664,0.35,0.10236514609208623,0.1801554129977505,0.00713947735063333,0.0384153948330945,0.3397391051458937,0.4496247287153426,0.035677476463289504,0.08886595802247463,0.29823200252235404,0.4055608888450096
