Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.7352168505928705,12.10670149877859,599,1800,0.0,[0.71 0.76]
ICC2,Single random raters,0.737261769164833,13.719839098181124,599,1797,0.0,[0.69 0.78]
ICC3,Single fixed raters,0.7607632479887236,13.719839098181124,599,1797,0.0,[0.73 0.79]
ICC1k,Average raters absolute,0.9174011187026551,12.10670149877859,599,1800,0.0,[0.91 0.93]
ICC2k,Average random raters,0.9181955810613853,13.719839098181124,599,1797,0.0,[0.9  0.93]
ICC3k,Average fixed raters,0.9271128478370732,13.719839098181124,599,1797,0.0,[0.92 0.94]
